column_name,data_type,description,source,example_value,used_for_eda,used_for_modeling,leakage_risk,notes
synthetic_user_id,string,ID unik synthetic user,Generated,SYN_000001,No,Yes,Low,3.000 unique users
source_respondent_id,string,ID responden survey asli yang jadi template,Generated,R0000,No,No,Low,Reference saja
dataset_type,string,real_4w atau synthetic_52w,Generated,synthetic_52w,Yes,Yes,Low,
usia,int64,Usia responden/user,Survei col 2,17–65,Yes,Yes,Low,"Clipped [17,65], dengan variasi +/-3 untuk synthetic"
gig_type,string,8 kategori jenis pekerjaan gig,Survei col 4,ojek_online...,Yes,Yes,Low,8 kategori dari GIG_MAP
domisili_code,string,Kode domisili,Survei col 3,jabodetabek...,Yes,Yes,Low,Map DOMISILI_MAP
income_w1,float64,Pendapatan MINGGU LALU (terbaru),Survei col 10,0–2jt,Yes,Lag source only,High,Jangan langsung masuk X
income_w2,float64,Pendapatan DUA MINGGU LALU,Survei col 11,0–2jt,Yes,Lag source only,High,Jangan langsung masuk X
income_w3,float64,Pendapatan TIGA MINGGU LALU,Survei col 12,0–2jt,Yes,Lag source only,High,Jangan langsung masuk X
income_w4,float64,Pendapatan EMPAT MINGGU LALU (terlama),Survei col 13,0–2jt,Yes,Lag source only,High,Jangan langsung masuk X — urutan: w4(terlama)→w1(terbaru)
next_week_income,float64,TARGET: pendapatan minggu depan,Engineered,0–2jt,No,Target only,High,JANGAN masuk X
next_week_direction,string,"TARGET: Up/Stable/Down (threshold 10%, >= <=)",Engineered,Up/Stable/Down,No,Target only,High,JANGAN masuk X
lag_1_income,float64,Income lag 1 minggu (dari sequence kronologis),Engineered,0–2jt,No,Yes,Low,Fitur utama
lag_2_income,float64,Income lag 2 minggu,Engineered,0–2jt,No,Yes,Low,
lag_3_income,float64,Income lag 3 minggu,Engineered,0–2jt,No,Yes,Low,
lag_4_income,float64,Income lag 4 minggu (synthetic saja),Engineered,0–2jt,No,Yes,Low,Hanya synthetic
rolling_mean_4w,float64,Rata-rata 4 lag minggu,Engineered,0–2jt,No,Yes,Low,
rolling_std_4w,float64,Std 4 lag minggu,Engineered,0–2jt,No,Yes,Low,
trend_slope_4w,float64,Slope linear trend 4 minggu,Engineered,varies,No,Yes,Low,
synthetic_weekly_income,float64,Observed income synthetic (BUKAN target langsung),Synthetic,0–2jt,No,Lag source/target,High,Hanya synthetic_52w — JANGAN masuk X
pref_payday,int,Pref: penghasilan ramai di tanggal gajian,Form col 15,0/1,Yes,Yes,Low,Dari multi-hot ramai_akhir_bulan | ramai_awal_bulan
pref_weekend,int,Pref: penghasilan ramai di akhir pekan,Form col 15,0/1,Yes,Yes,Low,Dari ramai_weekend
pref_ramadan_lebaran,int,Pref: penghasilan ramai di Ramadan/Lebaran,Form col 15,0/1,Yes,Yes,Low,Dari ramai_ramadan
pref_harbolnas,int,Pref: penghasilan ramai di Harbolnas,Form col 15,0/1,Yes,Yes,Low,Dari ramai_harbolnas
pref_natal_tahun_baru,int,Pref: penghasilan ramai di Natal/Tahun Baru,Form col 15,0/1,Yes,Yes,Low,Dari ramai_natal
bps_jasa_weekly,float64,Benchmark BPS jasa per minggu per domisili,BPS,125rb–175rb,Yes,Yes,Low,Bulanan/4
is_synthetic,int,"1 jika synthetic, 0 jika real",Generated,1,No,No,Low,
